Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;MUJER;24;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;3/1/2016;BOLETA;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;21/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 2;PICHINCHA;RUMIÑAHUI;REBELION Y ATENTADO;25/1/2016;BOLETA;HOMBRE;53;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;27/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;29/1/2016;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;29/1/2016;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;29/1/2016;FLAGRANTE;HOMBRE;14;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;1/1/2016;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;1/1/2016;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;1/1/2016;FLAGRANTE;MUJER;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;1/1/2016;FLAGRANTE;HOMBRE;20;COLOMBIA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2016;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;1/1/2016;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A CARROS;1/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;1/1/2016;FLAGRANTE;HOMBRE;25;COLOMBIA
ZONA 9;DMQ;QUITO;VARIOS;1/1/2016;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;1/1/2016;FLAGRANTE;HOMBRE;24;ECUADOR
